submission_id,assignment_id,assignee,sku,lot_number,location,pallet_id,counted_qty,expected_qty,variance,variance_flag,timestamp,note,issue_type,actual_pallet_id,actual_lot_number
CCS-20251028-074613-74E391,CC-20251028-074110-AE92C7,Kevin,10000263,9063695,11201604,8304183901,15,15,0,Match,10/28/2025 7:46,,,,
CCS-20251028-074825-82D320,CC-20251028-074110-F19F81,Kevin,10000263,9063695,11800502,8304176596,15,15,0,Match,10/28/2025 7:48,,,,
CCS-20251028-075008-3B41F8,CC-20251028-074110-97C7AA,Kevin,10000263,9063695,12103104,8304176564,15,15,0,Match,10/28/2025 7:50,,,,
CCS-20251028-075122-BEFF93,CC-20251028-074110-213A94,Kevin,10000263,9063695,12201204,8304183966,15,15,0,Match,10/28/2025 7:51,,,,
CCS-20251028-075328-93A208,CC-20251028-074110-303473,Kevin,10000263,9063695,12205802,8304176613,15,15,0,Match,10/28/2025 7:53,,,,
CCS-20251028-075718-DEED32,CC-20251028-074110-88683F,Kevin,10000263,9063695,C011,8304176649,15,15,0,Match,10/28/2025 7:57,,,,
CCS-20251028-080103-2DA11D,CC-20251028-074110-E9CAAC,Kevin,10000263,9063695,C036,8304183992,15,15,0,Match,10/28/2025 8:01,,,,
CCS-20251028-080334-23F55A,CC-20251028-074110-875D23,Kevin,10000263,9063731,D008,8304183735,8,8,0,Match,10/28/2025 8:03,,,,
CCS-20251028-080725-301DDC,CC-20251028-074110-1CC5B6,Kevin,10000263,9063695,D048,8304176528,15,15,0,Match,10/28/2025 8:07,,,,
CCS-20251028-081332-BB206C,CC-20251028-074110-36E8F3,Kevin,10000263,9063731,E003,8304183873,15,15,0,Match,10/28/2025 8:13,15,,,
CCS-20251028-094029-984DAC,CC-20251028-082745-8095E1,Carlos,G0HCS001698,9063884,11200703,8304175834,15,15,0,Match,10/28/2025 9:40,,,,
CCS-20251028-094050-CC9CC6,CC-20251028-082745-059CEE,Carlos,G0HCS001698,9063884,11201303,8304175573,15,15,0,Match,10/28/2025 9:40,,,,
CCS-20251028-094159-7EC87E,CC-20251028-082745-59F72D,Carlos,G4LLC000024,9062693,11201501,JTL50174,3,3,0,Match,10/28/2025 9:41,No damages,,,
CCS-20251028-094252-F81D08,CC-20251028-082745-F11032,Carlos,G0HCS000994,9063580,11203403,8304173253,15,15,0,Match,10/28/2025 9:42,,,,
CCS-20251028-094307-6F6ACD,CC-20251028-082745-3F24FD,Carlos,10001610,9063896,11203503,8304176162,15,15,0,Match,10/28/2025 9:43,,,,
CCS-20251028-094349-78B7F4,CC-20251028-082745-63BDD7,Carlos,10001610,9063896,11402404,8304176994,15,15,0,Match,10/28/2025 9:43,,,,
CCS-20251028-094420-2F5195,CC-20251028-082409-DF7DAE,Carlos,G4ICS000376,9063928,11402103,8304183953,9,9,0,Match,10/28/2025 9:44,,,,
CCS-20251028-094538-085C5B,CC-20251028-082745-19DDA7,Carlos,10001610,9063896,11503202,8304176062,15,15,0,Match,10/28/2025 9:45,,,,
CCS-20251028-094632-F777DE,CC-20251028-082745-F8F9D5,Carlos,G0HCS001698,9063884,11501403,8304175768,15,15,0,Match,10/28/2025 9:46,,,,
CCS-20251028-094703-9387BA,CC-20251028-082745-B6B958,Carlos,10001610,9063896,11602203,8304176157,15,15,0,Match,10/28/2025 9:47,,,,
CCS-20251028-094732-050596,CC-20251028-082745-608552,Carlos,10001610,9063747,11601702,8304176103,15,15,0,Match,10/28/2025 9:47,No damages,,,
CCS-20251028-094859-7421A3,CC-20251028-082745-303D7B,Carlos,G4LLC000024,9062693,11700102,JTL13104,11,11,0,Match,10/28/2025 9:48,No damages,,,
CCS-20251028-094959-80B748,CC-20251028-082745-64D98B,Carlos,10001610,9063747,11802904,8304176047,15,15,0,Match,10/28/2025 9:49,,,,
CCS-20251028-095044-6AA5D0,CC-20251028-082745-639990,Carlos,10001610,9063747,11902302,8304176149,15,15,0,Match,10/28/2025 9:50,No damages,,,
CCS-20251028-095141-67D52D,CC-20251028-082745-A263D7,Carlos,G0HCS000994,9063580,12003203,8304173371,15,15,0,Match,10/28/2025 9:51,,,,
CCS-20251028-095234-EB4C31,CC-20251028-082507-4B8D3D,Carlos,G0HCS001698,9063217,12002902,8304175839,3,3,0,Match,10/28/2025 9:52,No damages,,,
CCS-20251028-095318-DCE3B8,CC-20251028-082745-BEB5F3,Carlos,10001610,9063896,11900403,8304176116,15,15,0,Match,10/28/2025 9:53,,,,
CCS-20251028-095405-A32C4F,CC-20251028-082745-0FF7D8,Carlos,10001610,9063895,12101202,8304176693,15,15,0,Match,10/28/2025 9:54,,,,
CCS-20251028-095449-8EA32D,CC-20251028-082745-C14BB7,Carlos,G1HCS000484,9063523,12103002,8304177274,11,11,0,Match,10/28/2025 9:54,,,,
CCS-20251028-095535-E68C14,CC-20251028-082745-E05CD1,Carlos,10001610,9063747,12103302,8304176136,15,15,0,Match,10/28/2025 9:55,No damages,,,
CCS-20251028-095604-1D42B9,CC-20251028-082745-0CE06E,Carlos,10001610,9063896,12104403,8304176920,15,15,0,Match,10/28/2025 9:56,,,,
CCS-20251028-095633-8FAE9E,CC-20251028-082745-C44B3E,Carlos,10001610,9063747,12104802,8304176138,15,15,0,Match,10/28/2025 9:56,,,,
CCS-20251028-095647-E6962A,CC-20251028-082745-BB881D,Carlos,10001610,9063896,12104904,8304176045,15,15,0,Match,10/28/2025 9:56,,,,
CCS-20251028-095711-B802F0,CC-20251028-082650-33BF54,Carlos,G1HCS000484,9063521,12204603,8304176880,15,15,0,Match,10/28/2025 9:57,,,,
CCS-20251028-095807-A15D14,CC-20251028-082745-503926,Carlos,10001610,9063895,12203602,8304176713,15,15,0,Match,10/28/2025 9:58,Corner dent but not damaged.,,,
CCS-20251028-095852-82B278,CC-20251028-082745-0D7BD3,Carlos,G0HCS000994,9063580,12201803,8304173180,15,15,0,Match,10/28/2025 9:58,,,,
CCS-20251028-095929-D98F3C,CC-20251028-082745-0E07B4,Carlos,10001610,9063895,12201402,8304176704,15,15,0,Match,10/28/2025 9:59,No damages,,,
CCS-20251028-100013-40C26E,CC-20251028-082650-7148C4,Carlos,G1HCS000484,9063521,12200503,8304176576,10,10,0,Match,10/28/2025 10:00,,,,
CCS-20251028-100043-DDB24E,CC-20251028-082745-98CEEE,Carlos,10001610,9063895,12300103,8304176767,15,15,0,Match,10/28/2025 10:00,,,,
CCS-20251028-100155-2FA5F0,CC-20251028-082650-08248A,Carlos,G1HCS000484,9063520,12301701,8304183598,5,5,0,Match,10/28/2025 10:01,No damages,,,
CCS-20251028-100329-0996D9,CC-20251028-082409-43FCC5,Carlos,G4ICS000376,9063928,12302102,8304183779,15,15,0,Match,10/28/2025 10:03,Slight fork dent on carton 008. Not damaged.,,,
CCS-20251028-100353-9F562E,CC-20251028-082745-49B71E,Carlos,G4LLC000024,9062693,12302803,JTL13215,15,15,0,Match,10/28/2025 10:03,,,,
CCS-20251028-100459-73502B,CC-20251028-082745-59CBC9,Carlos,10001610,9063895,12303902,8304176657,15,15,0,Match,10/28/2025 10:04,,,,
CCS-20251028-100558-398BF1,CC-20251028-082745-0987CD,Carlos,G0HCS000994,9063580,12304102,8304173530,15,15,0,Match,10/28/2025 10:05,No damages,,,
CCS-20251028-100656-0A2D25,CC-20251028-082745-169A6C,Carlos,G0HCS001698,9063028,12305403,8304183467,10,10,0,Match,10/28/2025 10:06,,,,
CCS-20251028-101032-55F173,CC-20251028-082745-C6735A,Carlos,G1HCS000484,9063523,I018,8304177153,15,15,0,Match,10/28/2025 10:10,,,,
